geneID	anr1_(Pae_G1a)_2.CEL	anr2_(Pae_G1a).CEL	anr3_(Pae_G1a).CEL	WT1_(Pae_G1a).CEL	WT2_(Pae_G1a).CEL	WT3_(Pae_G1a).CEL
PA0021	5.308422138300477	5.223907437292688	5.433408640780631	5.67640118958914	5.381969691307269	5.507818437933731
PA0022	7.068056284476249	7.024759541348723	7.199782615744281	6.6581105695267375	6.855794824145544	6.736575601218447
PA0023	7.843029906018142	7.619741492768696	7.698689145280321	7.6635412802849086	7.741911323161916	7.5845790374247475
PA0024	8.818313906133012	8.91703106853861	8.79242401114828	7.7219642116362905	7.756822559292605	7.848309489002153
PA0025	7.275381201546708	7.249538282585155	7.292990769235663	7.31932826987687	7.475261378692333	7.475550224840257
PA0026	8.67785415647357	8.536784708636278	8.711950314922063	8.883353344039103	9.060267167846547	8.896339591869655
PA0027	7.09687045327006	7.093990282678108	7.118386361899771	7.748168145251742	7.663481161148011	7.723802686706121
PA0028	6.563502635082403	6.527799391389586	6.684468171537988	6.934470818428758	6.885809487875019	7.052915164483364
PA0029	6.139162885045757	6.329863553273509	6.356557259398674	6.901805956589094	6.507879212640503	6.412342841786792
PA0030	5.165451058193655	5.123942284583508	5.2294523206412205	5.548806059793259	5.429414128175638	5.205704285861769
PA0031	5.853156714269625	5.687840983723899	5.811119842183497	5.867428938406827	6.201812194098199	5.836367110110799
